table_name,ID,es,SE,CI,mde_05,mde_50
PET-PEESE_MA,1,0.229,0.195,"-0.154, 0.612",0.547,0.713
PET-PEESE_MA,2,0.548,0.051,"0.448, 0.648",0.142,0.185
PET-PEESE_MA,3,-0.386,0.286,"-0.947, 0.176",0.802,1.045
PET-PEESE_MA,4,-0.151,0.183,"-0.509, 0.207",0.511,0.666
PET-PEESE_MA,5,0.513,0.279,"-0.033, 1.060",0.781,1.017
PET-PEESE_MA,6,0.327,0.112,"0.107, 0.547",0.315,0.41
PET-PEESE_MA,7,0.713,0.059,"0.597, 0.829",0.166,0.216
PET-PEESE_MA,8,0.136,0.31,"-0.471, 0.744",0.867,1.13
PET-PEESE_MA,9,-0.053,0.127,"-0.303, 0.197",0.357,0.464
PET-PEESE_MA,10,0.293,0.262,"-0.220, 0.805",0.732,0.954
PET-PEESE_MA,11,-0.01,0.061,"-0.130, 0.109",0.171,0.222
PET-PEESE_MA,12,0.008,0.039,"-0.068, 0.084",0.109,0.142
PET-PEESE_MA,13,0.015,0.072,"-0.125, 0.155",0.2,0.261
PET-PEESE_MA,14,0.131,0.136,"-0.136, 0.399",0.382,0.498
PET-PEESE_MA,15,-0.107,0.288,"-0.671, 0.457",0.806,1.049
