table_name,ID,es,SE,CI,mde_05,mde_50
PSM_MA,1,0.298,0.135,"0.033, 0.562",0.377,0.492
PSM_MA,2,0.543,0.057,"0.430, 0.655",0.161,0.209
PSM_MA,3,0.293,0.103,"0.092, 0.494",0.288,0.375
PSM_MA,4,0.381,0.243,"-0.096, 0.858",0.681,0.887
PSM_MA,5,0.846,0.177,"0.498, 1.193",0.496,0.647
PSM_MA,6,0.231,0.099,"0.038, 0.424",0.276,0.36
PSM_MA,7,0.663,0.031,"0.602, 0.724",0.087,0.113
PSM_MA,8,0.322,0.031,"0.261, 0.383",0.087,0.114
PSM_MA,9,0.242,0.055,"0.134, 0.351",0.155,0.202
PSM_MA,10,0.259,0.062,"0.137, 0.381",0.174,0.227
PSM_MA,11,0.505,0.039,"0.428, 0.581",0.109,0.142
PSM_MA,12,0.1,0.034,"0.034, 0.166",0.094,0.123
PSM_MA,13,0.274,0.048,"0.179, 0.369",0.135,0.176
PSM_MA,14,0.426,0.069,"0.290, 0.562",0.194,0.253
PSM_MA,15,0.418,0.053,"0.315, 0.521",0.147,0.192
