d;v;sed
0.542;0.075076;0.274
0.559;0.093636;0.306
0.419;0.040401;0.201
0.651;0.068644;0.262
0.474;0.040401;0.201
0.52;0.067081;0.259
0.696;0.1024;0.32
0.597;0.079524;0.282
0.616;0.082944;0.288
0.711;0.1024;0.32
0.435;0.084681;0.291
0.586;0.075076;0.274
0.64;0.080089;0.283
0.541;0.057121;0.239
0.54;0.033124;0.182
0.4;0.056169;0.237
0.563;0.058081;0.241
0.447;0.051529;0.227
0.561;0.051076;0.226
0.637;0.045796;0.214
1.013;0.109561;0.331
0.636;0.080089;0.283
0.571;0.065536;0.256
0.414;0.041616;0.204
0.625;0.068121;0.261
