es;v;se
.020456145;.012660877;.11252056
.17888544;.050199997;.22405356
1.0190047;.085108384;.29173341
.074213214;.06945844;.26354969
1.073745;.13084948;.36173123
.20182534;.078860886;.2808218
1.3538835;.19691642;.44375265
.071428575;.025019851;.15817665
.066519015;.11117256;.33342549
.1243696;.025472885;.15960227
.74051857;.066784129;.25842625
-.099330992;.06905058;.26277477
.25453582;.069524035;.26367411
.36221325;.070096545;.26475751
.1334077;.047222208;.21730672
.24473876;.047469854;.21787578
.060086139;.047138754;.21711461
.16582218;.031679641;.17798775
.51745868;.035433806;.1882387
.07509385;.031338111;.17702574
.26270553;.032328349;.17980085
.62110627;.037277702;.19307435
.74387598;.039896119;.19974013
.17931269;.031752389;.178192
.42226687;.034036085;.18448871
.2675584;.032368552;.17991263
.095758229;.031393278;.17718148
.43644089;.035330333;.18796365
.38435534;.034640789;.18612036
.50828302;.036425028;.19085342
.170763;.10036451;.31680357
.52810037;.10348612;.32169259
.48883641;.053499743;.23130012
1.2554243;.1788045;.42285281
.626131;.11960199;.34583521
-.35990405;.035492178;.18839368
-.20940654;.034064189;.18456486
-.17309588;.12267619;.35025162
.47763222;.12567878;.35451204
.46650445;.12551959;.35428745
.43939176;.12514745;.35376185
.52570802;.12980847;.36028942
1.1032361;.14450786;.38014188
1.1127878;.14483859;.38057664
.94237614;.13936634;.37331802
.18083888;.12551098;.35427529
.075000003;.12508789;.35367766
-.045089092;.038500637;.19621579
.5262019;.043786317;.20925181
-.4927364;.03737982;.19333862
.24711454;.034351092;.18534048
-.05383708;.050072461;.22376877
.48239881;.055817716;.23625773
-.11674147;.07584285;.27539581
-.87235188;.18773566;.43328473
.18901668;.068275116;.26129508
-.1216005;.068097658;.26095527
.15718736;.12534316;.35403836
.12725699;.12522493;.35387135
-.22346616;.035948608;.18960118
1.1967518;.02860179;.16912064
.703592;.020792015;.14419436
.30983868;.017466666;.13216151
.85722029;.022790221;.1509643
1.3142323;.031060053;.17623863
.39181715;.037129667;.1926906
.23026222;.035396907;.18814066
-.15969799;.034922473;.18687555
-.49023569;.038626395;.19653599
.25254565;.035582401;.18863298
.37266731;.022608001;.15035957
.088643;.022244051;.1491444
.19725746;.022330306;.14943328
.15791661;.022291495;.14930336
-.22634715;.022364536;.14954777
.039924901;.047074713;.21696708
.7113654;.052209184;.22849329
.55678266;.04812514;.21937443
.68788689;.042897206;.20711641
.08126536;.043091059;.20758386
.16978279;.043210533;.20787144
.27327621;.040884536;.20219925
.25338587;.03329362;.18246539
.65911049;.039264943;.19815384
.20724675;.034049191;.18452422
.1386047;.03365352;.18344896
-.045660671;.032291695;.1796989
-.50440949;.036361754;.19068758
.074251115;.033425219;.18282565
-.11855231;.033567574;.18321456
.47591388;.021408597;.14631677
.16538198;.02303808;.151783
-.26835698;.019923225;.14114965
-.26361844;.023516985;.15335248
-.16244483;.056288566;.23725212
.42242104;.025330693;.15915619
1.2325182;.23797753;.48782942
.31222856;.20243718;.44993019
1.610685;.26485768;.51464325
-1.380537;.24764706;.4976415
.99666107;.18736111;.4328523
.4324778;.040500689;.20124783
1.2658722;.048681516;.22063889
.47263989;.04275747;.20677879
.30986351;.040307991;.2007685
.54890978;.081385322;.28528112
.37267798;.022608023;.15035965
.15950619;.022292895;.14930806
.0679534;.058016654;.24086647
.50520182;.059832681;.2446072
-.028829414;.029853847;.17278266
-.076241367;.012695016;.11267217
-.047245558;.035754144;.18908766
-.18257418;.033888888;.18408935
-.082478613;.035835765;.18930337
-.091287091;.033472221;.18295415
.041239306;.035744652;.18906257
.50207901;.037534725;.1937388
.43128347;.055560902;.2357136
.55261916;.10006493;.3163304
-.51225936;.09954711;.31551087
-.14873731;.048326045;.21983185
-.23255184;.10883892;.32990745
1.7383834;.10080585;.31749937
-.16733338;.02253334;.15011109
.57126296;.056259066;.23718993
.46479034;.055513717;.2356135
-.0676976;.010022915;.10011451
-.065739878;.0094543481;.097233474
-.06637346;.0096365642;.098166004
-.0676976;.010022915;.10011451
.18203956;.076026909;.27572978
.34439903;.073829599;.27171603
-.079875909;.072809331;.26983204
.2976855;.073556922;.2712138
-.12396619;.075859271;.27542561
.22086939;.076174498;.27599728
-.043362021;.077055119;.27758804
-.090650991;.07711605;.27769777
-.74161983;.10687499;.32691741
.71974397;.024686584;.15711965
.35007003;.020809302;.1442543
.58951789;.023015011;.15170699
.67633528;.024092443;.15521741
.34133688;.036433708;.19087616
.59127545;.019580057;.13992876
.44152009;.018291168;.13524485
-.056093194;.029936958;.173023
-.020752339;.029926796;.17299363
1.3204271;.016514452;.12850857
.19514325;.013623866;.11672132
.69713122;.018279353;.13520116
.22030184;.015062741;.12273036
.08654625;.028841205;.16982698
.093809709;.032502733;.18028514
-.012281068;.034785897;.18650977
.086728305;.039645076;.19911072
-.071817681;.034212574;.18496642
-.036512364;.042560283;.20630144
.14521036;.040514659;.20128253
-.13959298;.04009743;.20024343
.011081846;.039608449;.19901872
.22924997;.032083079;.1791175
-.17086375;.036544483;.19116612
-.29632157;.04830683;.21978815
-.075555936;.033366378;.18266466
.017208373;.035726998;.18901587
.12585628;.03083015;.17558517
-.14002733;.036500908;.19105211
.25071126;.037532378;.19373275
-.032589506;.058088504;.24101557
.61610317;.079079553;.28121087
.16204935;.080390796;.28353271
.46396461;.029148202;.17072845
.43558791;.028812326;.16974194
.39436826;.02836219;.16841078
.13422775;.038808018;.19699751
.54912519;.044260353;.21038145
1.4098175;.036922086;.1921512
.28985628;.019296451;.13891166
1.1771159;.031348169;.17705414
1.2124975;.032131016;.17925127
.85013974;.14068931;.37508574
.57981789;.094917633;.30808705
.28770897;.092037946;.30337757
.20893671;.046446696;.21551496
-.64430588;.1319766;.36328584
.055203117;.11671021;.34162876
-.38217878;.11079732;.33286232
.086238392;.097651668;.31249267
-.38701525;.099387564;.31525794
.79911953;.10534868;.32457462
-.3363533;.098940663;.31454834
.98283243;.10934097;.33066747
-.6722275;.10307183;.32104802
.99192441;.16115965;.40144694
.87453115;.15724696;.39654377
.26349795;.13028653;.36095226
-.18762089;.13392003;.36595085
.097123526;.058943823;.24278349
.053388987;.05889542;.24268378
-.15121523;.059042592;.24298681
-.10505819;.029574079;.17197116
-.2759577;.037074156;.1925465
.1363167;.036046114;.18985814
-.26033849;.036924575;.19215769
-.15623677;.03615018;.19013201
-.39496836;.026950002;.16416456
.80036753;.077664368;.27868327
.41260752;.14589722;.38196495
.62109596;.085205719;.29190019
.51514363;.14759596;.38418218
.12527835;.071989097;.26830783
.68676335;.15127936;.38894647
.41636544;.077620007;.27860367
.34756055;.14501426;.38080737
.1369178;.072098091;.26851088
.7349717;.14740874;.38393846
.63049507;.079917468;.28269678
.40115759;.14086986;.37532634
0;.066666663;.25819889
.079745658;.13820489;.37175918
-.25336254;.068806425;.26230979
.034736156;.13811605;.37163967
-.060178515;.066787377;.25843254
-.08224009;.014755613;.12147269
-.1025304;.16688567;.40851644
-.83497328;.10353786;.32177299
.51275402;.023572046;.15353191
.10002083;.010468771;.10231701
.32149553;.010954997;.10466612
.055055857;.016418288;.12813386
.30984926;.017180381;.13107395
.34185848;.017351368;.1317246
.91324836;.070850559;.26617768
.041767996;.22623639;.47564313
.90661615;.275686;.52505809
.48614609;.01574886;.12549447
1.8917844;.10331199;.32142183
1.1393045;.061074346;.24713224
-.15980867;.05573291;.23607819
-2.1596932;.11107124;.33327353
-2.0713918;.10484441;.32379687
4.731595;.40646651;.63754725
1.6717181;.079910696;.2826848
2.4843838;.13620272;.36905652
-.2504532;.034378778;.18541515
-.57304502;.048507929;.22024515
-.13988756;.042074341;.20512031
-.13422775;.038808018;.19699751
.34908673;.040805031;.20200256
.2501851;.038196158;.19543837
-.20838133;.094258852;.30701604
-.20838133;.094258852;.30701604
-.20838133;.094258852;.30701604
-.20838133;.094258852;.30701604
.27496555;.015724286;.12539652
.37595651;.015980171;.1264127
-.25202477;.13732602;.37057525
.39436671;.075665034;.27507278
1.1138736;.24751912;.49751294
.30389979;.19737452;.44426852
.30389979;.19737452;.44426852
.30389979;.19737452;.44426852
.30389979;.19737452;.44426852
.16371435;.058471244;.24180828
.09894602;.080097899;.28301573
-.049074773;.020858418;.14442444
-.35362703;.02213596;.14878158
.49447861;.025505787;.15970531
.31357181;.023844626;.15441705
-.057914052;.037282702;.19308729
-.21669453;.037485823;.19361256
-.057914052;.037282702;.19308729
-.21669453;.037485823;.19361256
.34402364;.033099253;.181932
.17424999;.015862212;.12594527
.36465886;.033327751;.18255889
.84922576;.1063559;.32612252
.11359401;.027956996;.16720346
-.037028573;.0098106423;.099048689
.033328798;.0098093664;.099042244
0;.009803921;.099014752
-.0048801391;.0098040393;.099015348
.53744411;.044016272;.20980056
-.2377204;.12217975;.3495422
