d;v;sed
.25;.015816275;.1257627701963571
.3;.02058732;.1434828221036412
.32;.022109305;.1486919801252954
.53;.085940346;.2931558455721493
.07;.075923443;.2755420902547911
.9399999999999999;.25212461;.5021201268698074
-.74;.17337313;.416381001390936
-.44;.099960372;.3161651051156474
-.19;.099897116;.3160650480656723
.62;.014625092;.1209342453205869
.63;.091954611;.3032401820650866
.76;.11855044;.3443115499369256
.57;.10948663;.3308876384944545
.6899999999999999;.1519313;.3897836601116291
.61;.12659322;.3557994047922267
-.52;.071721211;.2678081591109622
.28;.073146313;.270455754127823
.28;.023549266;.1534576988038035
.37;.030280918;.1740141335039532
.34;.03071885;.175267939365768
.52;.04233307;.2057500231663001
