d;v;sed;;
0.569999993;0.10437638;0.323073343;1998;
0.839999974;0.19339184;0.439763405;2008;
1.080000043;0.086360343;0.293871303;2008;
0.589999974;0.067501917;0.259811309;2008;
0.980000019;0.16898789;0.411081354;2005;
1.529999971;0.21349254;0.462052537;2005;
0.439999998;0.054366592;0.233166445;2008;
0.560000002;0.087607309;0.295985324;2008;
0.289999992;0.014846238;0.121845142;2009;
0.180000007;0.008182027;0.090454559;2009;
0.180000007;0.04072931;0.201815038;2009;
0.25;0.070130348;0.264821352;2009;
0.150000006;0.025799889;0.16062344;2009;
1.419999957;0.42495388;0.651884872;2003;[N is exp group, control group]
0.790000021;0.09101855;0.301692803;2005;
0.930000007;0.20291255;0.450458157;2005;
0.910000026;0.18654905;0.431913241;2005;
0.949999988;0.22201455;0.471184203;2005;
0.449999988;0.059025604;0.242951858;2007;
0.519999981;0.078763306;0.280648016;2007;
0.50999999;0.079892434;0.282652493;2007;
0.079999998;0.071337529;0.267090862;2007;
0.680000007;0.19467859;0.441223974;2007;
0.529999971;0.075025164;0.273907223;2007;
0.850000024;0.11503229;0.339164102;2006;
0.610000014;0.086055771;0.293352644;2009;
0.75;0.073028974;0.270238734;2009;
1.610000014;0.42745593;0.65380113;2003;
0.430000007;0.13688534;0.369980189;2003;
0.899999976;0.17323929;0.416220244;2003;
0.409999996;0.063514017;0.252019879;2003;
0.469999999;0.088408031;0.297334879;2003;
0.649999976;0.060024071;0.244998104;2007;
0.670000017;0.091610305;0.302671943;2007;
0.189999998;0.04250798;0.206174632;2009;
0.469999999;0.12684178;0.356148552;2009;
0.02;0.11227078;0.335068325;2009;
0.039999999;0.14016494;0.374386084;2009;
0.819999993;0.092240907;0.303711883;2006;
0.600000024;0.081123784;0.28482237;2006;
1.200000048;0.15491225;0.393588925;2006;
0.610000014;0.05089011;0.225588369;2007;
0.829999983;0.12592676;0.354861621;2006;
1.070000052;0.21002521;0.458285075;2008;
0.970000029;0.22431982;0.473624129;2008;
1.360000014;0.27722991;0.526526271;2008;
0.579999983;0.083496548;0.288957689;2008;
1.559999943;0.13448364;0.3667201;2008;
0.99000001;0.15976486;0.399705959;2008;
1.360000014;0.47448218;0.688826671;2009;
1.220000029;0.43758634;0.661503085;2009;
1.899999976;0.64988905;0.806156963;2009;
0.439999998;0.29315266;0.541435743;2009;
1.190000057;0.17727932;0.421045507;2009;
0.579999983;0.07270021;0.269629758;2005;
0.639999986;0.088761702;0.297929019;2005;
1.590000033;0.31568098;0.561854947;2005;
1.059999943;0.10337449;0.321519039;;
0.800000012;0.17679876;0.420474455;;
0.629999995;0.090144001;0.300239912;;
0.699999988;0.072641142;0.269520209;;
0.790000021;0.18938279;0.435181329;;
1.340000033;0.27414322;0.523586872;;
1.00999999;0.22904815;0.478589748;;
0.980000019;0.28404897;0.532962452;;
0.99000001;0.2716065;0.5211588;;
0.839999974;0.14842978;0.385265853;;
0.930000007;0.15504742;0.393760614;;
0.730000019;0.081721574;0.285869857;;
0.959999979;0.18465927;0.429720001;;
1.269999981;0.096644752;0.310877392;;
1.379999995;0.19650601;0.443289975;;
1.399999976;0.56404883;0.751031849;;
0.769999981;0.22114021;0.470255464;;
0.75999999;0.16200842;0.402502686;;
1.070000052;0.13427009;0.366428836;;
0.75999999;0.11854135;0.344298343;;
1.129999995;0.34380457;0.586348505;;
1.25;0.3293961;0.573930407;;
1.269999981;0.30143046;0.549026832;;
0.769999981;0.11091894;0.333044947;;
1.110000014;0.16035102;0.400438534;;
0.949999988;0.21311538;0.461644217;;
1.730000019;0.37359011;0.611220177;;
0.899999976;0.083147503;0.28835309;;
0.300000012;0.097565055;0.312354049;;
0.129999995;0.098092377;0.313197022;;
0.340000004;0.096447363;0.310559763;;
-0.109999999;0.092362992;0.303912808;;
0.209999993;0.13191283;0.363198049;;
0.209999993;0.12782104;0.357520682;;
-0.109999999;0.081077956;0.284741911;;
0.649999976;0.098622911;0.314042853;;
0.649999976;0.078493938;0.280167695;;
0.560000002;0.060426023;0.24581705;;
